,0,1,2,3
0,9968.284795650654,-0.003176560364850837,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.009,0.998,0.995,1.006,0.986"
1,9889.417486313861,-0.007943287989682765,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.997,0.990,0.989,0.974,1.002"
2,9698.156537865523,-0.019529424834246044,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.980,0.980,0.975,0.977,0.971"
3,9697.759967819426,-4.089211726978291e-05,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
4,9697.760720757771,7.764043639692324e-08,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
5,9811.955191286275,0.011706554331564856,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.020,1.007,1.009,1.022,1.012"
6,9770.091806628338,-0.004275696860475388,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.987,0.984,0.985,1.024,0.995"
7,9857.410453228857,0.00889763980295358,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.995,1.002,1.000,1.035,1.021"
8,9982.978854373901,0.012658025586081341,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.006,1.008,1.008,1.034,1.020"
9,9931.220550991813,-0.00519814217723249,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.001,0.979,0.993,0.994,1.002"
10,9931.114570886446,-1.0671464832004903e-05,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
11,9931.115802422606,1.2400784163356557e-07,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
12,9913.021193709557,-0.0018236735345531225,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.005,1.003,1.008,0.988,0.985"
13,9932.051551909066,0.0019178930988815023,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.018,1.009,1.000,0.985"
14,10188.055866179859,0.02544898251117943,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.009,1.030,1.071,1.000,1.045"
15,10286.74853808111,0.009640476589296428,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.002,1.014,1.001,1.009,1.032"
16,10192.430134563103,-0.009211216124138331,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.990,0.991,0.996,0.983,0.985"
17,10192.235556327581,-1.909064769358501e-05,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
18,10192.23677360634,1.1943196162719015e-07,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
19,10140.684956704403,-0.005070784026779068,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.991,0.996,0.998,1.002,0.983"
20,10227.7105679961,0.008545213170198764,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.004,1.000,1.023,1.002,1.022"
21,10267.35837334276,0.0038690140460958243,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.010,1.003,0.998,1.008,1.005"
22,10124.972207919898,-0.013964904976748163,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.987,0.990,0.985,0.984,0.971"
23,10167.738427059026,0.004214940352008974,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.010,0.999,1.007,1.008,1.002"
24,10167.64884027918,-8.810924391996458e-06,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
25,10167.650109641614,1.248432528253156e-07,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
26,10149.408701058208,-0.001795674625437144,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.002,0.997,0.999,0.995,0.996"
27,10135.711609591095,-0.0013504572158318947,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.998,0.989,0.999,1.004,1.001"
28,10189.984407309803,0.0053403265165178565,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.007,1.006,1.004,1.000,1.014"
29,10189.50083791236,-4.745648790598837e-05,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,0.993,0.998,1.007,1.001"
30,10156.521591165028,-0.003241840093837536,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.994,0.994,1.001,1.001,0.990"
31,10156.453749545992,-6.679633869349536e-06,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
32,10156.455031159363,1.2618708481330818e-07,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
33,10249.098056986399,0.009080240262702178,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.003,1.006,1.006,1.017,1.023"
34,10153.674365981684,-0.009354060792417147,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.987,1.002,0.983,1.002,0.971"
35,10153.661631582556,-1.2541673737176547e-06,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.003,0.998,1.006,1.009,0.985"
36,10145.545999002497,-0.0007996009657275401,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.995,1.017,1.000,0.997,0.986"
37,10139.967855071367,-0.0005499633001021219,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.007,0.989,0.998,1.006,0.997"
38,10139.957283804228,-1.0425351244367881e-06,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
39,10139.958594949978,1.2930485090445052e-07,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
40,10138.44159201948,-0.0001496176147367938,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.996,0.997,0.997,0.999,1.010"
41,10184.98740299601,0.0045805156570643225,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.993,1.022,1.009,0.999,1.005"
42,10184.756599232865,-2.2661429925675785e-05,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.015,0.982,1.000,0.997,1.006"
43,10176.443155868148,-0.000816596657041794,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.996,0.994,1.006,0.999,0.999"
44,10136.5130641232,-0.003931495026584801,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.998,0.981,1.000,0.996,1.001"
45,10136.430774232445,-8.118198463201618e-06,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
46,10136.432045389336,1.2540477402897875e-07,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.000,1.000,1.000,1.000,1.000"
47,10206.737331931065,0.006911958027913586,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.010,1.001,1.016,1.009,1.005"
